,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
AGUAS-A.SN,0.0,-0.02083628182828201,0.050540629751983535,0.05184829834255028,0.005093859645498133,0.11288705019085543,0.046508303821487185,0.0744892509295052,0.023386515996899393,0.01860780689389574,0.11290292071254882,0.05807457985891773,0.05309895714704366,0.07349431580798871,0.016349041371124973
ANDINA-B.SN,-0.02083628182828201,0.0,0.08556821331796,0.04285801796755756,0.03717801246875696,0.17284048532872093,0.04374224075427413,0.03949308135705332,0.07112268106634301,0.051903251695471386,0.031182010636200852,0.12345958286207098,0.10853472811067089,0.052227267634658736,-0.04361384469060342
BCI.SN,0.05054062975198359,0.08556821331796,0.0,0.06255371249365038,0.025609869795822637,0.13331186705121734,0.03581794863758753,0.04046749099507635,0.0897877196491133,0.031278691618115084,0.09198372543576255,0.12203511429276365,0.08548766705577743,0.08047929241816909,0.03056257533990797
BSANTANDER.SN,0.05184829834255028,0.04285801796755756,0.06255371249365016,0.0,-0.006728801827214692,0.09219841965764264,-0.027372644855069572,0.03639719574673017,0.056430062718481167,0.05907711926362624,0.06546561057945588,0.10198960319304884,0.08172876364660792,0.0989531014679102,-0.0183787976090381
CAP.SN,0.005093859645498133,0.03717801246875696,0.025609869795822637,-0.006728801827214692,0.0,0.10819309552672329,0.0105055581827328,0.023740786638363792,-0.00045884814646396377,0.006142697794394414,0.06784188895517868,0.08116255113630505,0.07610059372292577,0.02107421486882577,0.008078015845882525
CENCOMALLS.SN,0.11288705019085543,0.17284048532872104,0.13331186705121734,0.09219841965764275,0.10819309552672329,0.0,0.07902702509420656,0.09565434781269694,0.10069189085870123,0.10369651779337674,0.16804142974792927,0.26804507681382933,0.23953778794497677,0.12675810948171579,0.060111549145466625
CMPC.SN,0.046508303821487185,0.04374224075427413,0.03581794863758753,-0.027372644855069572,0.0105055581827328,0.07902702509420656,0.0,-0.0359011293756642,0.013233659909423323,-0.03667006595027633,0.03431073852671224,0.038226316831112384,0.0470136135034363,-0.008889819380792197,0.03510634187983186
ENELCHILE.SN,0.0744892509295052,0.03949308135705332,0.04046749099507635,0.03639719574673017,0.023740786638363792,0.09565434781269694,-0.0359011293756642,0.0,0.0648431743747051,0.03949996536034073,0.10373440290009006,0.07729447363723696,0.0347507895108321,0.06901179622403247,-0.051003162602508506
ENTEL.SN,0.023386515996899393,0.07112268106634301,0.0897877196491133,0.05643006271848122,-0.00045884814646390826,0.10069189085870123,0.013233659909423323,0.0648431743747051,0.0,0.0586527265548622,0.047047180449015014,0.10754580956385729,0.053599958742877374,0.06934928035693372,0.02952071141169932
FALABELLA.SN,0.01860780689389574,0.05190325169547144,0.031278691618115084,0.05907711926362624,0.006142697794394469,0.10369651779337674,-0.03667006595027633,0.039499965360340616,0.0586527265548622,0.0,0.117854953458013,0.16857852108296784,0.07316619973885408,0.13521737340297046,-0.01364650326463751
ITAUCL.SN,0.11290292071254882,0.031182010636200852,0.09198372543576255,0.06546561057945588,0.06784188895517868,0.16804142974792927,0.03431073852671224,0.10373440290009006,0.047047180449015014,0.117854953458013,0.0,0.1395451127811309,0.08465090680293874,0.12155705631837871,0.022592775482006944
MALLPLAZA.SN,0.05807457985891773,0.12345958286207098,0.12203511429276365,0.10198960319304884,0.08116255113630505,0.26804507681382933,0.038226316831112384,0.07729447363723696,0.10754580956385729,0.16857852108296784,0.1395451127811309,0.0,0.225706033445206,0.12768823012616087,0.022308267331875714
PARAUCO.SN,0.05309895714704366,0.10853472811067089,0.08548766705577743,0.08172876364660803,0.07610059372292577,0.23953778794497665,0.0470136135034363,0.0347507895108321,0.05359995874287743,0.07316619973885419,0.08465090680293869,0.225706033445206,0.0,0.09450220496779954,0.021068323143368373
RIPLEY.SN,0.07349431580798871,0.052227267634658736,0.08047929241816909,0.09895310146791025,0.02107421486882577,0.12675810948171584,-0.008889819380792197,0.06901179622403253,0.06934928035693372,0.13521737340297046,0.12155705631837876,0.12768823012616087,0.09450220496779954,0.0,0.015776571649737642
SQM-B.SN,0.016349041371124973,-0.04361384469060342,0.030562575339907916,-0.0183787976090381,0.008078015845882525,0.060111549145466514,0.035106341879831915,-0.051003162602508506,0.029520711411699263,-0.01364650326463751,0.022592775482006833,0.02230826733187577,0.02106832314336826,0.015776571649737586,0.0
