,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
AGUAS-A.SN,1.0,0.35801554515857675,0.4056478631706186,0.3875140799723863,0.2744740296142189,0.2744404316733058,0.34614823026699093,0.31905477865711995,0.32503865322363096,0.3673788357928796,0.3426772853046627,0.2970901782359847,0.3728759459987634,0.3245823588583772,0.2545588877272292
ANDINA-B.SN,0.35801554515857675,1.0,0.3943786118086602,0.41722277877969877,0.29638791166982714,0.27895816224003367,0.330946874189516,0.28477233840349486,0.3112452105884554,0.3921343587263723,0.36399750429092814,0.33832029690235554,0.36427362696079196,0.3401008458002441,0.2497618546278955
BCI.SN,0.4056478631706186,0.3943786118086602,1.0,0.596224777071438,0.3427416535491919,0.37837704546302997,0.4936978338889855,0.41480670985193985,0.40981703488491295,0.4868320359184137,0.43444145638407433,0.3497945211646969,0.443313878091066,0.40946626962393257,0.3226355507860746
BSANTANDER.SN,0.3875140799723863,0.41722277877969877,0.596224777071438,1.0,0.3764562483040219,0.37474852194087915,0.4854480438743333,0.4522808615159974,0.40588320218234175,0.5192084573215957,0.41311944079338137,0.3877181872629116,0.40658387540477076,0.3885339066742954,0.34093854924664835
CAP.SN,0.2744740296142189,0.29638791166982714,0.3427416535491919,0.3764562483040219,1.0,0.313249961854278,0.42092918484210695,0.2490216064932639,0.29161227091682634,0.34170111389799535,0.3239868466010414,0.2874193056651286,0.3755051768244982,0.3183096365233978,0.35987862728749553
CENCOMALLS.SN,0.2744404316733058,0.27895816224003367,0.37837704546302997,0.37474852194087915,0.313249961854278,1.0,0.3650939304136495,0.29869839242976154,0.28147613245899983,0.36676226381395005,0.22833402848551512,0.4045607293800279,0.4684119101643443,0.303937858427745,0.210363081043773
CMPC.SN,0.34614823026699093,0.330946874189516,0.4936978338889855,0.4854480438743333,0.42092918484210695,0.3650939304136495,1.0,0.40270136192971934,0.3263324887221551,0.47354512027753815,0.3501745393889729,0.33797158471577327,0.4043352737607721,0.3390018038049072,0.35537407645042063
ENELCHILE.SN,0.31905477865711995,0.28477233840349486,0.41480670985193985,0.4522808615159974,0.2490216064932639,0.29869839242976154,0.40270136192971934,1.0,0.31672273264108525,0.3968498201839255,0.2574413668014005,0.3001189556238054,0.3417430551830324,0.3386839373072801,0.2557353258288027
ENTEL.SN,0.32503865322363096,0.3112452105884554,0.40981703488491295,0.40588320218234175,0.29161227091682634,0.28147613245899983,0.3263324887221551,0.31672273264108525,1.0,0.3638295429114174,0.28092381695056196,0.2905723613605023,0.35138000750199205,0.30749222483489425,0.2564519843835875
FALABELLA.SN,0.3673788357928796,0.3921343587263723,0.4868320359184137,0.5192084573215957,0.34170111389799535,0.36676226381395005,0.47354512027753815,0.3968498201839255,0.3638295429114174,1.0,0.3652285566028434,0.40159760090073077,0.47761045149672343,0.4981821397370898,0.31620818320111355
ITAUCL.SN,0.3426772853046627,0.36399750429092814,0.43444145638407433,0.41311944079338137,0.3239868466010414,0.22833402848551512,0.3501745393889729,0.2574413668014005,0.28092381695056196,0.3652285566028434,1.0,0.2912249648389622,0.3665915306499082,0.36670347791578095,0.31417221417613617
MALLPLAZA.SN,0.2970901782359847,0.33832029690235554,0.3497945211646969,0.3877181872629116,0.2874193056651286,0.4045607293800279,0.33797158471577327,0.3001189556238054,0.2905723613605023,0.40159760090073077,0.2912249648389622,1.0,0.5051678139979743,0.4021351466931075,0.23317680697753787
PARAUCO.SN,0.3728759459987634,0.36427362696079196,0.443313878091066,0.40658387540477076,0.3755051768244982,0.4684119101643443,0.4043352737607721,0.3417430551830324,0.35138000750199205,0.47761045149672343,0.3665915306499082,0.5051678139979743,1.0,0.43790941113376275,0.2896262820545649
RIPLEY.SN,0.3245823588583772,0.3401008458002441,0.40946626962393257,0.3885339066742954,0.3183096365233978,0.303937858427745,0.3390018038049072,0.3386839373072801,0.30749222483489425,0.4981821397370898,0.36670347791578095,0.4021351466931075,0.43790941113376275,1.0,0.24725976581273748
SQM-B.SN,0.2545588877272292,0.2497618546278955,0.3226355507860746,0.34093854924664835,0.35987862728749553,0.210363081043773,0.35537407645042063,0.2557353258288027,0.2564519843835875,0.31620818320111355,0.31417221417613617,0.23317680697753787,0.2896262820545649,0.24725976581273748,1.0
