,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
AGUAS-A.SN,1.0,0.33717926333029474,0.45618849292260216,0.4393623783149366,0.27956788925971704,0.3873274818641612,0.3926565340884781,0.39354402958662515,0.34842516922053035,0.38598664268677535,0.4555802060172115,0.35516475809490244,0.42597490314580705,0.3980766746663659,0.27090792909835415
ANDINA-B.SN,0.33717926333029474,1.0,0.4799468251266202,0.4600807967472563,0.3335659241385841,0.4517986475687546,0.37468911494379015,0.3242654197605482,0.3823678916547984,0.4440376104218437,0.395179514927129,0.4617798797644265,0.47280835507146285,0.3923281134349028,0.20614800993729207
BCI.SN,0.4561884929226022,0.4799468251266202,1.0,0.6587784895650883,0.36835152334501453,0.5116889125142473,0.529515782526573,0.4552742008470162,0.49960475453402625,0.5181107275365288,0.5264251818198369,0.47182963545746054,0.5288015451468434,0.48994556204210166,0.35319812612598256
BSANTANDER.SN,0.4393623783149366,0.4600807967472563,0.6587784895650881,1.0,0.3697274464768072,0.4669469415985218,0.45807539901926375,0.48867805726272756,0.4623132649008229,0.578285576585222,0.47858505137283724,0.4897077904559604,0.48831263905137867,0.4874870081422056,0.32255975163761025
CAP.SN,0.27956788925971704,0.3335659241385841,0.36835152334501453,0.3697274464768072,1.0,0.4214430573810013,0.43143474302483975,0.2727623931316277,0.2911534227703624,0.34784381169238976,0.39182873555622005,0.3685818568014336,0.45160577054742396,0.33938385139222355,0.36795664313337806
CENCOMALLS.SN,0.3873274818641612,0.4517986475687547,0.5116889125142473,0.4669469415985219,0.4214430573810013,1.0,0.4441209555078561,0.3943527402424585,0.38216802331770106,0.4704587816073268,0.3963754582334444,0.6726058061938572,0.7079496981093211,0.4306959679094608,0.2704746301892396
CMPC.SN,0.3926565340884781,0.37468911494379015,0.529515782526573,0.45807539901926375,0.43143474302483975,0.4441209555078561,1.0,0.36680023255405514,0.3395661486315784,0.4368750543272618,0.38448527791568515,0.37619790154688565,0.4513488872642084,0.330111984424115,0.3904804183302525
ENELCHILE.SN,0.39354402958662515,0.3242654197605482,0.4552742008470162,0.48867805726272756,0.2727623931316277,0.3943527402424585,0.36680023255405514,1.0,0.38156590701579035,0.43634978554426623,0.36117576970149057,0.3774134292610424,0.3764938446938645,0.40769573353131255,0.2047321632262942
ENTEL.SN,0.34842516922053035,0.3823678916547984,0.49960475453402625,0.462313264900823,0.29115342277036244,0.38216802331770106,0.3395661486315784,0.38156590701579035,1.0,0.4224822694662796,0.32797099739957697,0.3981181709243596,0.4049799662448694,0.37684150519182796,0.28597269579528684
FALABELLA.SN,0.38598664268677535,0.44403761042184375,0.5181107275365288,0.578285576585222,0.3478438116923898,0.4704587816073268,0.4368750543272618,0.4363497855442661,0.4224822694662796,1.0,0.4830835100608564,0.5701761219836986,0.5507766512355775,0.6333995131400603,0.30256167993647604
ITAUCL.SN,0.4555802060172115,0.395179514927129,0.5264251818198369,0.47858505137283724,0.39182873555622005,0.3963754582334444,0.38448527791568515,0.36117576970149057,0.32797099739957697,0.4830835100608564,1.0,0.4307700776200931,0.4512424374528469,0.48826053423415966,0.3367649896581431
MALLPLAZA.SN,0.35516475809490244,0.4617798797644265,0.47182963545746054,0.4897077904559604,0.3685818568014336,0.6726058061938572,0.37619790154688565,0.3774134292610424,0.3981181709243596,0.5701761219836986,0.4307700776200931,1.0,0.7308738474431803,0.5298233768192684,0.2554850743094136
PARAUCO.SN,0.42597490314580705,0.47280835507146285,0.5288015451468434,0.4883126390513788,0.45160577054742396,0.707949698109321,0.4513488872642084,0.3764938446938645,0.4049799662448695,0.5507766512355776,0.45124243745284687,0.7308738474431803,1.0,0.5324116161015623,0.3106946051979333
RIPLEY.SN,0.3980766746663659,0.3923281134349028,0.48994556204210166,0.48748700814220564,0.33938385139222355,0.43069596790946085,0.330111984424115,0.4076957335313126,0.37684150519182796,0.6333995131400603,0.4882605342341597,0.5298233768192684,0.5324116161015623,1.0,0.2630363374624751
SQM-B.SN,0.27090792909835415,0.20614800993729207,0.3531981261259825,0.32255975163761025,0.36795664313337806,0.2704746301892395,0.39048041833025254,0.2047321632262942,0.2859726957952868,0.30256167993647604,0.336764989658143,0.25548507430941364,0.3106946051979332,0.26303633746247507,1.0
