,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
AGUAS-A.SN,0.0020388601767367233,0.0005952847447161275,0.0008800120103634588,0.0008206591388695922,0.0008102043034197863,0.0009743395774012609,0.0008558041689515095,0.0008596754154925879,0.0007970645569206884,0.0009750661410768239,0.000880425849872053,0.0011292529096614712,0.0010640301245624737,0.0008007773960887884
ANDINA-B.SN,0.0005952847447161276,0.0015642832750189179,0.000783072250333397,0.0007584227022913217,0.0008366017290052164,0.0009929986102308352,0.0007042765216699925,0.0006049271245832132,0.000760473915264934,0.0007405689614730106,0.0009954141378656486,0.001075547525400446,0.000901118558516155,0.0005262237167065168
BCI.SN,0.0008800120103634588,0.0007830722503333969,0.001726689758116958,0.0011372416463208718,0.0009937498755888297,0.0011947758693673393,0.0010773234210044226,0.0008855703663720951,0.0010693241949101464,0.0010493366983862413,0.0010651721492595163,0.0013059797786972437,0.00116256649803123,0.0009633855124237786
BSANTANDER.SN,0.0008206591388695923,0.0007584227022913217,0.001137241646320872,0.0016940237546336282,0.0009721496243620834,0.0010543662201162832,0.0009068849690102083,0.000984735936154103,0.0009715747650258606,0.0009325748233440664,0.0011155470288174278,0.0011852825368033118,0.0012062262173622386,0.000865843954998466
CAP.SN,0.0008102043034197863,0.0008366017290052163,0.0009937498755888297,0.0009721496243620833,0.0041365670656975904,0.0014825700039590617,0.0013292012927289558,0.0008255113197270364,0.0009339930100573816,0.001185564804434012,0.0012851305522918058,0.0016671628443041988,0.0012699364718526803,0.001526439493299818
CENCOMALLS.SN,0.0009743395774012609,0.0009929986102308352,0.0011947758693673393,0.0010543662201162832,0.0014825700039590617,0.0030562871231295,0.001188450557172922,0.0010538459575726872,0.0010702729893948193,0.001053847981601104,0.0020599362770391434,0.002376564484565157,0.0014150613962228358,0.0009809551842783165
CMPC.SN,0.0008558041689515095,0.0007042765216699925,0.0010773234210044226,0.0009068849690102082,0.0013292012927289558,0.0011884505571729217,0.002330813640116606,0.0008509078349561406,0.000821228554590008,0.0008973953905428207,0.0009849918636390754,0.0012672113534690547,0.0009509536700440597,0.0012242576750849032
ENELCHILE.SN,0.0008596754154925879,0.0006049271245832131,0.000885570366372095,0.000984735936154103,0.0008255113197270364,0.001053845957572687,0.0008509078349561406,0.002269057960228072,0.0009119106808292813,0.0008264428381903444,0.0009730152701149864,0.0010483318050297594,0.0011607967590721415,0.000634113135046765
ENTEL.SN,0.0007970645569206883,0.0007604739152649338,0.0010693241949101462,0.0009715747650258606,0.0009339930100573816,0.0010702729893948188,0.000821228554590008,0.0009119106808292813,0.0025418744786416467,0.000785356185302068,0.0010900647694673824,0.0011917073581791892,0.001115049012894084,0.0009415274168844809
ITAUCL.SN,0.0009750661410768239,0.0007405689614730106,0.0010493366983862415,0.0009325748233440664,0.001185564804434012,0.001053847981601104,0.0008973953905428208,0.0008264428381903444,0.000785356185302068,0.0022746795162060006,0.0011037253478342391,0.0012578720599385148,0.0013810725511006318,0.001045414020430456
MALLPLAZA.SN,0.000880425849872053,0.0009954141378656486,0.0010651721492595165,0.0011155470288174275,0.0012851305522918058,0.0020599362770391434,0.0009849918636390754,0.0009730152701149864,0.0010900647694673824,0.0011037253478342387,0.002923766978961832,0.002310895316559285,0.0017492270055243357,0.0009052750786963451
PARAUCO.SN,0.0011292529096614712,0.001075547525400446,0.0013059797786972437,0.0011852825368033118,0.0016671628443041988,0.002376564484565157,0.0012672113534690547,0.0010483318050297597,0.0011917073581791892,0.001257872059938515,0.002310895316559285,0.0034434142884371514,0.0018124049223587721,0.0011837903090584257
RIPLEY.SN,0.0010640301245624735,0.0009011185585161548,0.0011625664980312303,0.0012062262173622384,0.0012699364718526803,0.0014150613962228358,0.0009509536700440597,0.0011607967590721413,0.001115049012894084,0.0013810725511006318,0.0017492270055243357,0.0018124049223587721,0.0035899037955593135,0.0009991340229541163
SQM-B.SN,0.0008007773960887882,0.0005262237167065168,0.0009633855124237786,0.000865843954998466,0.001526439493299818,0.0009809551842783165,0.0012242576750849034,0.000634113135046765,0.0009415274168844809,0.001045414020430456,0.0009052750786963451,0.0011837903090584259,0.0009991340229541165,0.004274273284438001
