,err_m1
AGUAS-A.SN,8.17179007050247e-07
ANDINA-B.SN,-2.8670988152434615e-06
BCI.SN,5.375983535587346e-06
BSANTANDER.SN,-3.393695576272334e-06
CAP.SN,5.161392738334096e-06
CENCOMALLS.SN,-2.69237301732915e-06
CMPC.SN,-2.0354186756864356e-06
ENELCHILE.SN,-1.0051995374911037e-05
ENTEL.SN,-1.7344821831529779e-06
FALABELLA.SN,6.5653394968078795e-06
ITAUCL.SN,-3.3723173729442984e-06
MALLPLAZA.SN,4.079077904318128e-06
PARAUCO.SN,-1.829221093071435e-06
RIPLEY.SN,-1.0602565324608054e-05
SQM-B.SN,-6.192732885743762e-07
