activo,momento,error
AGUAS-A.SN,m1,8.17179007050247e-07
ANDINA-B.SN,m1,-2.867098815243461e-06
BCI.SN,m1,5.375983535587346e-06
BSANTANDER.SN,m1,-3.393695576272334e-06
CAP.SN,m1,5.161392738334096e-06
CENCOMALLS.SN,m1,-2.69237301732915e-06
CMPC.SN,m1,-2.035418675686436e-06
ENELCHILE.SN,m1,-1.0051995374911036e-05
ENTEL.SN,m1,-1.734482183152978e-06
FALABELLA.SN,m1,6.56533949680788e-06
ITAUCL.SN,m1,-3.3723173729442984e-06
MALLPLAZA.SN,m1,4.079077904318128e-06
PARAUCO.SN,m1,-1.829221093071435e-06
RIPLEY.SN,m1,-1.0602565324608054e-05
SQM-B.SN,m1,-6.192732885743762e-07
AGUAS-A.SN,m2,1.92179288767704e-05
ANDINA-B.SN,m2,1.3249830524153908e-05
BCI.SN,m2,1.5950190025139756e-05
BSANTANDER.SN,m2,4.683885506702587e-06
CAP.SN,m2,0.00015190499689
CENCOMALLS.SN,m2,0.0001142623642771
CMPC.SN,m2,7.614630189228507e-05
ENELCHILE.SN,m2,5.34915749428929e-07
ENTEL.SN,m2,2.4274822177142684e-05
FALABELLA.SN,m2,4.658947901621654e-05
ITAUCL.SN,m2,8.61377337239076e-05
MALLPLAZA.SN,m2,8.692843064070453e-05
PARAUCO.SN,m2,9.18682281471849e-05
RIPLEY.SN,m2,3.072416844913809e-05
SQM-B.SN,m2,3.3551156907233454e-05
AGUAS-A.SN,m3,1.7989744221063973e-07
ANDINA-B.SN,m3,8.640724094259662e-09
BCI.SN,m3,-1.2543018557934112e-08
BSANTANDER.SN,m3,2.0071451858744954e-07
CAP.SN,m3,-3.149925439425829e-08
CENCOMALLS.SN,m3,-5.7733746827192595e-08
CMPC.SN,m3,-2.177050139784607e-06
ENELCHILE.SN,m3,1.0046013437432393e-07
ENTEL.SN,m3,2.5373405115132523e-06
FALABELLA.SN,m3,-4.359144132585407e-08
ITAUCL.SN,m3,4.429492567021297e-08
MALLPLAZA.SN,m3,-7.032889814752137e-07
PARAUCO.SN,m3,-1.8037999667448067e-06
RIPLEY.SN,m3,1.986513674873021e-07
SQM-B.SN,m3,4.450869183998186e-07
AGUAS-A.SN,m4,-8.514264682399323e-06
ANDINA-B.SN,m4,-1.066407324976948e-06
BCI.SN,m4,-1.3391471292755752e-06
BSANTANDER.SN,m4,-1.175140732230724e-06
CAP.SN,m4,-4.700532302402348e-05
CENCOMALLS.SN,m4,-4.268845906274971e-05
CMPC.SN,m4,-2.2468570991551288e-05
ENELCHILE.SN,m4,-7.840952120753739e-07
ENTEL.SN,m4,-1.52384809676943e-05
FALABELLA.SN,m4,-1.1162646202744146e-05
ITAUCL.SN,m4,-3.192000073099742e-05
MALLPLAZA.SN,m4,-2.493807843536981e-05
PARAUCO.SN,m4,-7.150917929481945e-05
RIPLEY.SN,m4,-6.932284620183712e-06
SQM-B.SN,m4,-6.885269294250459e-06
